RestaurantID,Name,Address,Time,Price
32,Tiệm Gà Rán Signature 19 - Korean Food,"52 Bùi Thị Xuân, Hai Bà Trưng, Hà Nội",,
33,Mokchang - Đồ Ăn Hàn Quốc - Đức Thượng,"57 Thú Y, X. Đức Thượng, Hoài Đức, Hà Nội",,
34,Gà Rán & Burger Lotteria - Nguyễn Tuân,"82 Nguyễn Tuân, P. Thanh Xuân Trung, Thanh Xuân, Hà Nội",,
35,Domino's Pizza - Xuân La,"D22 107 Xuân La, Bắc Từ Liêm, Hà Nội",,
36,Cơm Thố Anh Nguyễn - Bán Đảo Linh Đàm,"Toà Nhà Nơ 6B, Đường Nguyễn Duy Trinh, Bán Đảo Linh Đàm, P. Hoàng Liệt, Hoàng Mai, Hà Nội",,
37,"HN - Bún Bò Huế, Phở, Cơm Mì Xào - Lê Trọng Tấn","192/334/4 Lê Trọng Tấn, P. Định Công, Hoàng Mai, Hà Nội",,
38,Quán Cơm Hạt Dẻ - Cơm Gà Online,"10 Ngõ 68 Triều Khúc, Thanh Xuân, Hà Nội",,
39,Bảo Ngọc Food - Mì Trộn Indomie & Đồ Ăn Vặt - Chùa Quỳnh,"310 Chùa Quỳnh, P. Bạch Mai, Hai Bà Trưng, Hà Nội",,
40,Cơm Phố - Cơm Gà & Cơm Bò - Dương Khuê,"11 Ngách 11 Ngõ 28 Dương Khuê, P. Mai Dịch, Cầu Giấy, Hà Nội",,
41,Bún Đậu Mẹt Minh Thư - Văn Minh,"1 Ngõ Văn Minh, P. Mai Dịch, Cầu Giấy, Hà Nội",,
42,Xuân Food - Mì Trộn Indomie - Tây Sơn,"Số 17 Ngõ 340 Tây Sơn, Đống Đa, Hà Nội",,
43,"Hân - Tokbokki, Gà Sốt Cay Hàn Quốc & Ăn Vặt - Hồ Tùng Mậu","18 Ngõ 20 Hồ Tùng Mậu, P. Mai Dịch, Cầu Giấy, Hà Nội",,
44,Cô Ba - Nem Nướng Nha Trang - Trích Sài,"245 Trích Sài, P. Bưởi, Tây Hồ, Hà Nội",,
45,Tim Food - Mì Trộn Indomie & Đồ Ăn Vặt - Hồng Hà,"1045 Hồng Hà, P. Chương Dương Độ, Hoàn Kiếm, Hà Nội",,
46,Cơm Sườn Cay HiMC - Hà Kế Tấn,"171 P. Hà Kế Tấn, P. Phương Liệt, Thanh Xuân, Hà Nội",,
47,Cơm Thố Bách Khoa - Khâm Thiên,"275 Khâm Thiên, Đống Đa, Hà Nội",,
48,"Út Miền Nam - Mỳ Cay, Chân Gà Xốt Thái & Nem Chua Rán - Cầu Diễn","136/43/4 Cầu Diễn (Ngõ Quyết Tiến, Đằng Sau Trường Tiểu Học Minh Khai A, Ngọa Long), P. Minh Khai, Bắc Từ Liêm, Hà Nội",,
49,Cúc - Cháo Sườn Sụn - Phạm Văn Đồng,"Số 6 Phạm Văn Đồng (gần ngõ 12 Phạm Văn Đồng - chân cầu Thăng Long), Tổ Dân Phố Tân Xuân 3, P. Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",,
50,Bún Bò Huế Hoàng Quân,"115A4 Thành Công, P. Thành Công, Ba Đình, Hà Nội",,
51,Bami Deli - Bánh Mì Hương Vị Bò Sốt - 381 Đội Cấn,"381 Đội Cấn, P. Liễu Giai, Ba Đình, Hà Nội",,
52,Bún Đậu Mẹt Thủy Mít - C8 Thành Công,"104B - C8 Thành Công, P. Thành Công, Ba Đình, Hà Nội",,
53,Pizza Ông Tây - Đỗ Quang,"45 Đỗ Quang, Cầu Giấy, Hà Nội",,
54,Nhem Nhem - Đồ Ăn Vặt & Mì Trộn Indomie,"Số 2 Ngõ 43/66/9 Trung Kính, P. Trung Hoà, Cầu Giấy, Hà Nội",,
55,BUMTRO - Bún Trộn Nam Bộ - Đào Tấn,"26 Ngõ 58 Đào Tấn, P. Cống Vị, Ba Đình, Hà Nội",,
56,Bánh Mỳ Donner Kebab Bánh Mỳ Vũ - Ăn Vặt - Nguyễn Thị Định,"9D Ngõ 1 Nguyễn Thị Định, P. Trung Hoà, Cầu Giấy, Hà Nội",,
57,Mì Trộn Indomie 158 - Thành Công,"105 - C8 Thành Công, P. Thành Công, Ba Đình, Hà Nội",,
58,Bảo Bảo - Mì Trộn Indomie - Shop Online,"20 Ngách 63 Ngõ 355 Xuân Đỉnh, P. Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",,
59,Nem Nướng Nha Trang Ngọc Hằng - Hồng Mai,"113 Hồng Mai, P. Quỳnh Lôi, Hai Bà Trưng, Hà Nội",,
60,Hoa Béo - Nem Nướng Ninh Hoà - Xa La,"Số 19, Phố Xa La, P. Phúc La, Hà Đông, Hà Nội",,
61,"Zen Zen - Cơm Gà, Gà Rán & Cơm Bò - Trần Duy Hưng","12A Ngõ 88 Trần Duy Hưng, P. Trung Hòa, Cầu Giấy, Hà Nội",,
62,Tiệm Mì Indo - Kim Giang,"Số 71 Ngõ 64 Đường Kim Giang, P. Kim Giang, Thanh Xuân, Hà Nội",,
63,Gà Tươi Mạnh Hoạch - Nguyễn Văn Lộc,"17LK6C Nguyễn Văn Lộc, (70 Nguyễn Văn Lộc), P. Mỗ Lao, Hà Đông, Hà Nội",,
64,Cơm Tấm Delichi - Cơm Tấm Sườn Bì Chả - Dương Khuê,"19 Ngách 28/5 Dương Khuê, P. Mai Dịch, Cầu Giấy, Hà Nội",,
65,"Bento Delichi - Cơm Gà Xối Mỡ, Cơm Gà Mắm Tỏi - Dương Khuê","17 Ngách 28/5 Dương Khuê, P. Mai Dịch, Cầu Giấy, Hà Nội",,
66,Cô Tám - Cơm Rang & Cơm Tấm - 126 Hồng Mai,"126 Hồng Mai, Hai Bà Trưng, Hà Nội",,
67,Cơm Tấm Phương Anh - Bạch Mai,"35 Bạch Mai, P. Ô Cầu Dền, Hai Bà Trưng, Hà Nội",,
68,Duy Nhất - Phở Bò & Cơm Rang - Vĩnh Hưng,"51 Vĩnh Hưng, P. Vĩnh Hưng, Hoàng Mai, Hà Nội",,
69,Cô Ba - Nem Nướng Nha Trang - Minh Khai,"382 Minh Khai, P. Vĩnh Tuy, Hai Bà Trưng, Hà Nội",,
70,Hoàng Huệ - Cơm Rang & Bún Bò Trộn - Chùa Láng,"14/22 Ngõ 185 Chùa Láng, Đống Đa, Hà Nội",,
71,"Quán Cô Mai - Bún, Miến & Bánh Đa Các Loại","6 Ngách 1 Ngõ 63 Trần Quốc Vượng, P. Dịch Vọng Hậu, Cầu Giấy, Hà Nội",,
72,Tiệm Gà Rán Óng Ánh - Ngọc Hà,"Số 6 Ngách 128, Ngõ 158 Ngọc Hà, P. Ngọc Hà, Ba Đình, Hà Nội",,
73,Chị Cúc - Bún Trộn Nam Bộ - Nguyễn Tuân,"164 Nguyễn Tuân, P. Thanh Xuân Trung, Thanh Xuân, Hà Nội",,
74,Như Mây - Bánh Đa Trộn,"38 Phố Thọ Lão, P. Đống Mác, Hai Bà Trưng, Hà Nội",,
75,Quán Ngon 286 - Bún Trộn Nam Bộ - Giáp Bát,"245 Giáp Bát, P. Giáp Bát, Hoàng Mai, Hà Nội",,
76,Đức Food - Mì Trộn Indomie - Ngõ 95 Chùa Bộc,"110 Ngõ 95 Chùa Bộc, Đống Đa, Hà Nội",,
77,Minh Phương - Nem Nướng Nha Trang - Vành Đai 2.5 Định Công,"Số 38 Đ. Vành Đai 2.5 Định Công, P. Định Công, Hoàng Mai, Hà Nội",,
78,Burger King - Giảng Võ,"C4 Giảng Võ, P. Giảng Võ, Ba Đình, Hà Nội",,
79,Cheese Coffee - Lê Đại Hành,"50A Đường Lê Đại Hành, P. Lê Đại Hành, Hai Bà Trưng, Hà Nội",,
80,Gong Cha - Trà & Cà Phê - Hoàng Đạo Thúy,"Tầng 1, 34T Hoàng Đạo Thúy, P. Trung Hòa, Cầu Giấy, Hà Nội",,
81,"Highlands Coffee - Trà, Cà Phê & Bánh - Eco Lake View","32 Đại Từ, P. Đại Kim, Hoàng Mai, Hà Nội",,
82,Tian Long - Lẩu Bò Tươi Triều Châu Cơ Sở 1 - Trần Thái Tông,"107-D5 Trần Thái Tông, P. Dịch Vọng Hậu, Cầu Giấy, Hà Nội",,
83,"Snap Food - Cơm, Bún & Bánh Mì Healthy - Nguyễn Phong Sắc","87A Nguyễn Phong Sắc, P. Dịch Vọng Hậu, Cầu Giấy, Hà Nội",,
84,"Al Fresco's - Pizza, Mỳ Ý, Sườn, Steak Bò Bít Tết - Hai Bà Trưng","23L Hai Bà Trưng, P. Hàng Bài, Hoàn Kiếm, Hà Nội",,
85,Trà Sữa Tocotoco - Cầu Giấy,"320 Cầu Giấy, Cầu Giấy, Hà Nội",,
86,KOI Thé - Cầu Giấy,"Số 377 Đường Cầu Giấy, Tổ 11, P. Dịch Vọng, Cầu Giấy, Hà Nội",,
87,Guu Chicken - Cơm Gà & Gà Rán - Tam Khương,"3 Tam Khương, P. Khương Thượng, Đống Đa, Hà Nội",,
88,The Alley - Trà Sữa Đài Loan - 48 Trần Phú,"48 Trần Phú, P. Mộ Lao, Hà Đông, Hà Nội",,
89,Gà Luộc & Gà Ủ Muối Hoa Tiêu & Gà Rán - Phùng Khoang,"Liền Kề 1 Lô 10 Ngõ 67 Phùng Khoang, P. Trung Văn, Nam Từ Liêm, Hà Nội",,
90,Ding Tea - Nguyễn Văn Huyên,"Nguyễn Văn Huyên (7 Ngõ 36 Hoàng Quốc Việt), P. Nghĩa Đô, Cầu Giấy, Hà Nội",,
91,"Chè Ngon Đảo Chè - Kem Xôi Bơ, Trà Sữa & Ăn Vặt - Lê Văn Thiêm","Số 1 Ngõ 29 Lê Văn Thiêm, P. Nhân Chính, Thanh Xuân, Hà Nội",,
92,Omy Bakery - Bánh Ngọt & Trà - Xuân Thủy,"1H13 Ngõ 130 Xuân Thuỷ, P. Dịch Vọng, Cầu Giấy, Hà Nội",,
93,Susi's Cake - Bông Lan Trứng Muối - Tôn Đức Thắng,"73 Văn Chương 2, P. Tôn Đức Thắng, Đống Đa, Hà Nội",,
94,"Ăn Vặt Quyết Sọt - Xiên Que, Mì Trộn & Trà Chanh - Khu Đô Thị Mới Định Công","CT1A- DN1 Khu Đô Thị Mới Định Công, Hoàng Mai, Hà Nội",,
95,Trung Nguyên Legend - Hoàng Đạo Thúy,"17T2 - 17T3 Hoàng Đạo Thúy, P. Trung Hòa, Cầu Giấy, Hà Nội",,
96,Đảo Chè - Chè Sạch Vị Ngon - Ngô Thì Nhậm,"17A Ngô Thì Nhậm, P. Quang Trung, Hà Đông, Hà Nội",,
97,Quán Quen - Mỳ Chua Cay - 167 Tây Sơn,"P113 - Ký Túc Xá 5A Ngõ 167 Tây Sơn (Cuối Ngõ Rẻ Phải 5m), P. Quang Trung, Đống Đa, Hà Nội",,
98,YH.TANG - Đệ Nhất Trà Sữa Nướng - Trần Phú,"64 Trần Phú, P. Mộ Lao, Hà Đông, Hà Nội",,
99,LAT - Latte & Trà Sữa - Giải Phóng,"Tòa A2 Ngõ 773 Đường Giải Phóng, P. Giáp Bát, Hoàng Mai, Hà Nội",,
100,Mango Hello - Trà Xoài & Xôi Xoài - 04 Nguyễn Thị Định,"Số 4 Nguyễn Thị Định, P.Nhân Chính, Thanh Xuân, Hà Nội",,
101,Nucafe - Lê Thánh Tông,"18A Lê Thánh Tông, P.Phan Chu Trinh, Hoàn Kiếm, Hà Nội",,
102,Nem Chua Rán 36 Tạm Thương - Tây Sơn,"Số 6A Ngõ 178 Tây Sơn, P. Trung Liệt, Đống Đa, Hà Nội",,
103,"Sành Rau Má, Nước Mía Sầu Riêng & Trà Bí Đao - Tam Khương","Số 83A Phố Tam Khương, P. Khương Thượng, Đống Đa, Hà Nội",,
104,Matcha Vibe - Tiệm Trà Nhật Bản - 11A Lương Thế Vinh,"Số 11A Lương Thế Vinh, P. Văn Quán, Thanh Xuân, Hà Nội",,
105,Trà Sữa Wait Tea - Cầu Diễn,"66 Ngõ 134 Cầu Diễn, Bắc Từ Liêm, Hà Nội",,
106,Chin Chin - Trà Sữa Đậm Vị & Trà Hoa Quả Tươi - Quang Trung,"451 Quang Trung, P. Phú La, Hà Đông, Hà Nội",,
107,A-Phú - Mì Trộn Indomie & Ăn Vặt - Thanh Xuân Bắc,"102B - E11 Thanh Xuân Bắc (Ngõ 116 Lương Thế Vinh), P. Thanh Xuân Bắc, Thanh Xuân, Hà Nội",,
108,NooShan - Trà Sữa Shan Tuyết Pha Máy - 42 Nguyễn Văn Tuyết,"42 Nguyễn Văn Tuyết, P. Ngã Tư Sở, Đống Đa, Hà Nội",,
109,Minh Food - Nem Chua Rán Và Xiên Que,"38 Ngõ Thái Thịnh 1, P. Thịnh Quang, Đống Đa, Hà Nội",,
110,"Kiot Trạm - Cafe Muối, Trà Sữa & Trà Hoa Quả - 27 Trương Công Giai","Số 38/45 Trần Thái Tông, P. Dịch Vọng, Cầu Giấy, Hà Nội",,
111,1000M - Trà & Trà Sữa Shan Tuyết Thượng Hạng - 45 Nguyễn Thị Định,"45 Nguyễn Thị Định, P. Trung Hoà, Cầu Giấy, Hà Nội",,
112,"Trà sữa Winggo - Trà Sữa Kem Trứng Nướng, Trà Hoa Quả & Matcha - 34 Trung Hòa","34 Trung Hòa, P. Trung Hoà, Cầu Giấy, Hà Nội",,
113,Trà Sữa Rosier - Fresh Tea & Coffee - Tô Hiến Thành,"63 Tô Hiến Thành, Hai Bà Trưng, Hà Nội",,
114,Trà Sữa Đô Đô - Ngô Thì Nhậm,"34B Ngô Thì Nhậm, P. Hà Cầu, Hà Đông, Hà Nội",,
115,Tiệm Trà Trái Cây Mê Ly - 100 Thái Thịnh,"100 Thái Thịnh, P. Láng Hạ, Đống Đa, Hà Nội",,
116,Trà Sữa Yi He Tang - 127 Nguyễn Thị Định,"Số 127 Nguyễn Thị Định, P. Trung Hòa, Cầu Giấy, Hà Nội",,
117,Là Xôi - 318A Thái Hà,"318A Thái Hà, P. Trung Liệt, Đống Đa, Hà Nội",,
118,"Bánh Tráng Happy - Mì Trộn, Đồ Ăn Vặt & Trà Sữa - 325 Vũ Tông Phan","325 Vũ Tông Phan, P. Khương Đình, Thanh Xuân, Hà Nội",,
119,Trà Sữa Royaltea - 323 Xuân Đỉnh,"Số 12 Ngõ 323/75, P. Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",,
120,Hap Juice - Nước Ép & Sinh Tố - 175 Trương Định,"175 Trương Định, P. Trương Định, Hai Bà Trưng, Hà Nội",,
121,Thuý Mẹt - Nem Chua Rán Tạm Thương - Ô Chợ Dừa,"92A Ô Chợ Dừa, Đống Đa, Hà Nội",,
122,Gà Rán KFC - Bạch Mai,"373 Bạch Mai, P. Bạch Mai, Hai Bà Trưng, Hà Nội",,
123,Phúc Long 1B Nguyễn Hữu Huân,"1B Nguyễn Hữu Huân, P. Lý Thái Tổ, Hoàn Kiếm, Hà Nội",,
124,Phê La - Trà & Cà Phê Đặc Sản - Đại La,"24 Ngõ 128C Đại La, P. Đồng Tâm, Hai Bà Trưng, Hà Nội",,
125,The Coffee House - Lê Thanh Nghị,"92 Lê Thanh Nghị, P. Bách Khoa, Hai Bà Trưng, Hà Nội",,
126,Gà Rán Popeyes - Trần Quốc Hoàn,"69 Trần Quốc Hoàn, P. Dịch Vọng Hậu, Cầu Giấy, Hà Nội",,
127,ChanChan - Sữa Tươi Trân Châu Đường Đen Kem Trứng,"Số Nhà 23 Ngõ 63 Trần Quốc Vượng, P. Dịch Vọng Hậu, Cầu Giấy, Hà Nội",,
128,"Bánh Cờ-Rếp Crepe, Mì Trộn & Đồ Ăn Vặt - Nguyễn Văn Linh","Số 16 Ngách 765/114 Nguyễn Văn Linh, Long Biên, Hà Nội",,
129,Fruit Garden - Trái Cây Tươi Cắt Gọt Sẵn - Bắc Từ Liêm,"39 Ngõ 178 Cổ Nhuế, P. Cổ Nhuế 2, Bắc Từ Liêm, Hà Nội",,
130,Việt Nguyễn Coffee - Đại La,"10 Ngõ 35 - 37 Đại La, P. Trương Định, Hai Bà Trưng, Hà Nội",,
131,"Nguyệt Phong FOOD - Bánh Chưng Rán, Bánh Mỳ Pate & Mì Trộn Indomie - Văn Chương","Số 66 Ngách 33 Ngõ Văn Chương 2, P. Văn Chương, Đống Đa, Hà Nội",,
132,Gà Rán & Pizza 99,"10 Ngõ 38 Khúc Thừa Dụ, P. Dịch Vọng, Cầu Giấy, Hà Nội",,
133,"Doo Foods - Burger, Gà Rán & Cơm Gà - Giải Phóng","37 ngõ 205 Giải Phóng, P. Đồng Tâm, Hai Bà Trưng, Hà Nội",,
134,"Tiệm Trà Chè Sky - Mì Trộn Indomie, Mì Chua Cay & Trà Chanh - Thượng Đình","6 Thượng Đình, P. Thượng Đình, Thanh Xuân, Hà Nội",,
135,"Hủ Tiếu Thái Lan, Trà Sữa Thái, Ăn Vặt - Pi Thai - 101A Phạm Ngọc Thạch","101A Phố Phạm Ngọc Thạch, Tổ 50, P. Phương Liên, Đống Đa, Hà Nội",,
136,"Tiệm Trà Thủ Đô - Trà Trái Cây Tươi Không Siro, Trà Sữa & Nước Ép - 69 Nguyễn Hoàng","Số 69 Nguyễn Hoàng, P. Mỹ Đình 2, Nam Từ Liêm, Hà Nội",,
137,Coco Nama Tea Bar - Nguyễn Khánh Toàn,"74A Nguyễn Khánh Toàn, P. Quan Hoa, Cầu Giấy, Hà Nội",,
138,AI Coffee - 145 Nhật Chiêu,"145 Nhật Chiêu, P. Nhật Tân, Tây Hồ, Hà Nội",,
139,Duy Food - Mì Trộn Indomie,"Số 3 Ngõ 67 Trần Phú, P. Văn Quán, Hà Đông, Hà Nội",,
140,Okitaco - Cơm Taco Okinawa,"S402.01S09 Vinhomes Smart City, P. Tây Mỗ, Nam Từ Liêm, Hà Nội",,
141,"Le Pain Lee - Burger, Gà Rán & Cơm Gà - Nguyễn Xiển","65 Ngõ 161 Nguyễn Xiển, P. Hạ Đình, Thanh Xuân, Hà Nội",,
142,"Tiệm Bé Cá – Trà Sữa, Mỳ Ý & Sandwich","Số Nhà 8 Ngõ 583 Đường Nguyễn Trãi, Tổ 13, P. Thanh Xuân Nam, Thanh Xuân, Hà Nội",,
143,Quang Food - Mì Trộn Indomie - Ngõ Chợ Khâm Thiên,"Số 30 Ngõ 143 Chợ Khâm Thiên, P. Trung Phụng (Đối diện UBND phường Trung Phụng), Đống Đa, Hà Nội",,
144,Hà Juice - Nước Ép & Trà Trái Cây Tươi,"18 Ngõ 105 Trần Quốc Vượng, P. Dịch Vọng Hậu, Cầu Giấy, Hà Nội",,
145,"Sữa Hạt Mix - Đậu Nành, Rau Má Mix & Trà Sữa Gạo - 126 Phúc Tân","126 Phúc Tân, P. Phúc Tân, Hoàn Kiếm, Hà Nội",,
146,"Dương Dương - Lẩu Tokbokki, Mỳ Cay, Kimbap - Đồng Me","Số Nhà 46 Ngõ 32 Đồng Me, P. Mễ Trì, Nam Từ Liêm, Hà Nội",,
147,The Chum Coffee - 42 Trần Quý Kiên,"42 Trần Quý Kiên, Cầu Giấy, Hà Nội",,
148,Chè Bưởi Tư Đỉnh - Lương Thế Vinh,"68 Lương Thế Vinh, P. Thanh Xuân Bắc, Thanh Xuân, Hà Nội",,
149,"Hạt Gạo Food - Cơm Cuộn Rong Biển, Mỳ Ý & Đồ Ăn Nhanh - 286 Nguyễn Xiển","CT3 Chung Cư Ecogreen, 286 Nguyễn Xiển, X. Tân Triều, Thanh Trì, Hà Nội",,
150,Trà Sữa Tocotoco - 271 Nguyễn Khang,"271 Nguyễn Khang, P. Yên Hòa, Cầu Giấy, Hà Nội",,
151,San Tokbokki - Ẩm Thực Hàn Quốc - Trần Quốc Hoàn,"3A2 Ngõ 215 Trần Quốc Hoàn, P. Dịch Vọng Hậu, Cầu Giấy, Hà Nội",,
152,"Tiệm Phương Linh - Mì Trộn Indomie, Bánh Mì Pate & Nước Ép - Đồng Tiến","Số 73 Đường Đồng Tiến, Hoài Đức, Hà Nội",,
153,Moi Cheese - Trà Sữa Full Topping - Số 7 Xuân Thuỷ,"Số 7 Xuân Thủy, P. Dịch Vọng Hậu, Cầu Giấy, Hà Nội",,
154,BÁNH GÀ HUA - CHÙA BỘC,"42 Ngách 8 Ngõ 95 Chùa Bộc, P. Trung Liệt, Đống Đa, Hà Nội",,
155,Tiệm Trà BốpBi - Xuân Đỉnh - .,"489 Xuân Đỉnh , Bắc Từ Liêm, Hà Nội",,
156,"16H - Milk, Tea & Coffee - Thanh Xuân","109 E8 Thanh Xuân Bắc, Thanh Xuân, Hà Nội",,
157,KAMPONG - Cơm gà Hải Nam - Ngoại Giao Đoàn,"Tòa N03 - T3, Ngoại Giao Đoàn, Bắc Từ Liêm, Hà Nội",,
158,TacoZone - Nguyễn Thái Học,"129 Nguyễn Thái Học, P. Điện Biên, Ba Đình, Hà Nội",,
159,Pizza Home - Thái Phiên,"41 Thái Phiên, Lê Đại Hành, Hà Nội, Hai Bà Trưng, Hà Nội",,
160,Mr. Spaghetti - Nguyễn Thái Học,"129 Nguyễn Thái Học, Đống Đa, Hà Nội",,
161,Bếp Trên Mây Cloud Cook - Nguyễn Thái Học,"129 Nguyễn Thái Học, Ba Đình, Hà Nội",,
162,SugarKing - Đường Nâu Đài Loan - Linh Đàm,"ki Ốt 9 D1 CT2 Tây Nam Linh Đàm, P. Hoàng Liệt, Hoàng Mai, Hà Nội",,
163,Thanh Food - Mì Trộn Indomie & Bánh Mì - Tây Sơn,"11 Ngõ 252/34 Tây Sơn, P. Trung Liệt, Đống Đa, Hà Nội",,
164,Tâm Food - Mì Trộn Indomie & Bánh Mì - Tây Sơn,"15 Ngõ 252/34 Tây Sơn, P. Trung Liệt, Đống Đa, Hà Nội",,
165,Cô Quỳnh - Chè Mùa Hè & Sinh Tố Nước Ép,"307 Vũ Tông Phan, P. Khương Đình, Thanh Xuân, Hà Nội",,
166,Thanh Tâm - Chuyên Trà Sữa & Đồ Ăn Vặt - Shop Online,"15 Ngõ 252/34 Tây Sơn, P. Trung Liệt, Đống Đa, Hà Nội",,
167,Bánh Mì Nem Khoai Và Bánh Gà - Minh Châu,"84 Ngõ 32 Đỗ Đức Dục, P. Mễ Trì, Nam Từ Liêm, Hà Nội",,
168,Fish Love Cake - Bánh Sinh Nhật - Hồng Hà,"10 Ngõ 195 Hồng Hà, P. Phúc Tân, Hoàn Kiếm, Hà Nội",,
169,Super Chicken - Tiệm Gà Online,"Ngách 33 Ngõ 9 Đào Tấn, P. Ngọc Khánh, Ba Đình, Hà Nội",,
170,Linh Nhi Juice - Nước Ép & Sinh Tố Nguyên Chất,"101 Quan Hoa, Cầu Giấy, Hà Nội",,
